Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Roundness,Nucleus Texture Variance,Texture_Variance_DNA_3_00_256,Texture_Variance_DNA_3_01_256,Texture_Variance_DNA_3_02_256,Texture_Variance_DNA_3_03_256
control,0.02935325,18581,0.726681355,1.464037652,1.461294641,1.456886106,1.485108425,1.452861435
control,0.020272564,15426,0.637427299,0.477265255,0.482330538,0.470900864,0.480302458,0.47552716
control,0.030576466,21222,0.469835078,1.690908993,1.706017974,1.669840368,1.707881548,1.679896081
control,0.034573203,20029,0.705616769,0.738218642,0.748681416,0.729003631,0.736021445,0.739168076
control,0.028675114,17770,0.757133714,2.151923912,2.159470127,2.075586964,2.201845102,2.170793455
control,0.049632582,23888,0.844177952,43.18516375,42.99713589,43.2280456,43.15000397,43.36546953
control,0.028596849,19135,0.652194163,0.707927864,0.710220178,0.700782126,0.715629346,0.705079807
control,0.018570369,15096,0.50282727,0.32962652,0.330426563,0.329799522,0.330205756,0.328074239
control,0.05478861,21401,0.505715936,9.220495383,9.343849705,9.16836462,9.277917687,9.091849519
control,0.025179388,20078,0.619445869,0.704301236,0.711827644,0.7003641,0.706733567,0.698279634
control,0.02106831,12943,0.263379832,0.640769558,0.648033358,0.637586516,0.646419781,0.631038576
control,0.037039487,23274,0.602025343,4.351982281,4.390279932,4.328839156,4.36739962,4.321410417
control,0.033694822,19575,0.63598789,4.649140538,4.753515529,4.65047513,4.664025911,4.528545584
control,0.035858966,13160,0.462446608,2.873524187,2.887268964,2.861255882,2.907968186,2.837603718
control,0.034494016,19899,0.647513003,1.646601399,1.646288041,1.644074013,1.6466786,1.64936494
control,0.025133666,23304,0.618086072,1.100136691,1.109914644,1.098325698,1.109682387,1.082624033
control,0.024253076,22005,0.8457059,3.814750281,3.817380023,3.828319713,3.819304093,3.793997296
control,0.036270199,13470,0.762632791,2.715463851,2.749638291,2.655192733,2.710949697,2.746074683
control,0.039088487,19147,0.841607354,5.501550041,5.506234577,5.543384704,5.535014848,5.421566035
control,0.042037412,18583,0.560957454,5.036492852,5.156486264,4.958855229,5.058086996,4.972542917
control,0.027185719,12872,0.838429786,0.904722743,0.909962388,0.919325546,0.907528747,0.88207429
